Day,StartTime,EndTime,Course,Groups,Room
FRIDAY,15:00,15:50,Biochemical Science,BME 2.1,B321
SATURDAY,14:00,14:50,Biochemical Science,BME 2.1,B402
FRIDAY,18:00,18:50,Biochemical Science,BME 2.1,B320
SATURDAY,10:00,10:50,Biochemical Science,BME 2.2,B409
FRIDAY,10:00,10:50,Biochemical Science,BME 2.2,B426
WEDNESDAY,12:00,12:50,Biochemical Science,BME 2.2,A108
TUESDAY,13:50,15:30,Biochemistry and Physiology Laboratory,BME 2.2,Biochemistry Lab
THURSDAY,11:50,13:30,Biochemistry and Physiology Laboratory,BME 2.2,Biochemistry Lab
TUESDAY,08:00,09:40,Biochemistry and Physiology Laboratory,BME 2.2,Biochemistry Lab
FRIDAY,11:50,13:30,Biochemistry and Physiology Laboratory,BME 2.2,Biochemistry Lab
THURSDAY,09:50,11:30,Hospital Training,BME 4.1,Diagnostic and Therapeutic Equipment Lab
THURSDAY,08:00,09:40,Hospital Training,BME 4.1,Diagnostic and Therapeutic Equipment Lab
