Day,StartTime,EndTime,Course,Groups,Room
TUESDAY,15:50,17:30,Bioprocess Laboratory- I,BT 3.1,Bioprocess Lab
THURSDAY,09:50,11:30,Bioprocess Laboratory- I,BT 3.1,Bioprocess Lab
THURSDAY,11:50,13:30,Bioprocess Laboratory- I,BT 3.1,Bioprocess Lab
WEDNESDAY,11:50,13:30,Bioprocess Laboratory- I,BT 3.1,Bioprocess Lab
SATURDAY,09:00,09:50,Animal Biotechnology,BT 4.1,A209
FRIDAY,16:00,16:50,Animal Biotechnology,BT 4.1,B222
TUESDAY,10:00,10:50,Animal Biotechnology,BT 4.1,A309
THURSDAY,08:00,08:50,Animal Biotechnology,BT 4.3,B219
THURSDAY,09:00,09:50,Animal Biotechnology,BT 4.3,B408
WEDNESDAY,18:00,18:50,Animal Biotechnology,BT 4.3,A310
